english,oshikwanyama
"Then his sister said to Pharaoh’s daughter, “Shall I go and call a wet-nurse from the Hebrew women to nurse the child for you?” ","Opo nee omumwaina wako okakadona ka tya komona okakadona kaFarao: “Owa hala ndi ku kongele omunyamifi movalikadi Ovaheberi, ye a nyamife okaana?”"
"And Pharaoh’s daughter said to her, “Go ahead.” So the girl went and called the child’s mother.",Ndele okakadona omona waFarao okwe mu nyamukula ta ti: “Heeno”. Okakadona oka tondoka noka ifana ina yokaana. 
"Then Pharaoh’s daughter said to her, “Take this child away and nurse him for me, and I will give you your wages.” So the woman took the child and nursed him.",Opo nee okakadona omona waFarao e mu lombwela ta ti: “Tambula okaana aka okamati u ka nyamifile nge nohandi ke ku futa. Nomwalikadi okwa tambula okamati nokwe ka nyamifa.” 
"And the child grew, and she brought him to Pharaoh’s daughter and he became her son. And she named him Moses, and said, “Because I drew him out of the water.”","Ndelenee okaana eshi ka kula, okwe ka twala kokakadona omona waFarao. Nokwa ninga omona waye omumati. Ndele ye okwe mu luka Moses ndele ta ti: “Ame onde mu kufa momeva.”"
"One day, after Moses had grown [into adulthood], it happened that he went to his countrymen and looked [with compassion] at their hard labors; and he saw an Egyptian beating a Hebrew, one of his countrymen. ","Ndele opa ningwa pomafiku enya Moses eshi a kula, okwa ya a ka talele po ovakwao, ovamwaxe nokwa mona oshilonga shavo shidjuu. Nokwa mona omulumenhu Omuegipiti nhumbi a denga omulumenhu Omuheberi, umwe womovakwao."
"He turned to look around, and seeing no one, he killed the Egyptian and hid him in the sand.","Ndele ye okwa lengalenga kombinga nombinga ndele eshi a mona pehe na ovanhu, ye okwa dipaa Omuegipiti ndele te mu fudike medu."
"He went out the next day and saw two Hebrew men fighting with each other; and he said to the aggressor, “Why are you striking your friend?” ","Mefiku lomongula ye okwa ya ko vali, ndele pa li ovalumenhu vavali Ovaheberi va dengafana. Opo nee ye a pula kwaau e noushima: “Oshike to dengele omukweni?”"
"But the man said, “Who made you a prince and a judge over us? Do you intend to kill me as you killed the Egyptian?” Then Moses was afraid and said, “Certainly this incident is known.”","Ndele ye okwa nyamukula ta ti: “Olyelye e ku tula po u kale omwene nomutokoli wetu? Wa hala ngeno okudipaa nge, ngaashi wa dipaa Omuegipiti?” Ndele Moses okwa tila ndele ta ti: “Oshili, oshinima sha shiivika.”"
"When Pharaoh heard about this matter, he tried to kill Moses. Then Moses fled from Pharaoh’s presence and took refuge in the land of Midian, where he sat down by a well.","Ndele Farao eshi e di kundana, ye a konga Moses e mu dipae. Ndelenee Moses okwa yaFarao onhapo nokwa tula medu laMidian, ndele a kala omutumba pomufima umwe."
Now the priest of Midian had seven daughters; and they came and drew water [from the well where Moses was resting] and filled the troughs to water their father’s flock. ,Ndele omupristeli waMidian okwa li e novana oukadona vaheyali. Vo ove uya komufima okuteka omeva nokuxwiila oimuna yaxe.
"Then shepherds came and drove them away, but Moses stood up and helped them and watered their flock. ","Ndelenee ovafita ve uya nove va taataa mo. Opo nee Moses okwa fikama nokwe va kwafa, ndele ta xwiile oimuna yavo. "
"When they came to Reuel (Jethro) their father, he said, “How is it that you have come back so soon today?”",Ndele eshi ve uya kuxe yavo Rehuel ye okwa tya: “Ongahelipi mwa endelela nena?”
"They said, “An Egyptian saved us from the shepherds. He even drew water [from the well] for us and watered the flock.”",Ndele vo tava nyamukula: “Omulumenhu Omuegipiti okwe tu popila kovafita. Nokwe tu tekela omeva ndele a xwiila oimuna.”
"Then he said to his daughters, “Where is he? Why have you left the man behind? Invite him to have something to eat.”",Opo ye ta ti kovana vaye oukadona: “Ye oku li peni? Omolwashike mwe mu fiila ko? Mu ifaneni ye e uye okulya omungome.”
"Moses was willing to remain with the man, and he gave Moses his daughter Zipporah [to be his wife]","Ndele Moses okwa hokwa po nokwa kala pomulumenhu ou, ndele ye okwe mu pa omona okakadona Sippora. "
"She gave birth to a son, and he named him Gershom (stranger); for he said, “I have been a stranger in a foreign land.”","Ndele ye eshi a dala okaana okamati, Moses okwe ka luka Gersom. Osheshi ye a tile: “Ame nda kala ngaashi omunailongo koilongo.”"
"Now it happened after a long time [about forty years] that the king of Egypt died. And the children of Israel (Jacob) groaned and sighed because of the bondage, and they cried out. And their cry for help because of their bondage ascended to God.","Ndele efimbo lile eshi la pita po, ohamba yaEgipiti oya fya. NOvaisraeli ova kuwa nokulila omolwoupika. Ndele onghuwo yavo molwoupika wavo oya fika kuKalunga."
"So God heard their groaning and God remembered His covenant with Abraham, Isaac, and Jacob (Israel).","Ndele Kalunga okwa uda ekemo lavo, naKalunga okwa dimbulukwa ehangano laye naAbraham naIsak naJakob."
"God saw the sons of Israel, and God took notice [of them] and was concerned about them ","Ndele Kalunga okwa tala Ovaisraeli, nokwe va kalela noshisho."
"Now Moses was keeping the flock of Jethro (Reuel) his father-in-law, the priest of Midian; and he led his flock to the west side of the wilderness and came to Horeb (Sinai), the mountain of God.","Ndele Moses okwa lifa oimuna yaxemweno Jetro, omupristeli waMidian. Ndelenee efiku limwe ye eshi a twalele oimuna langhele kwinya kouninginino wombuwa, okwe uya komhunda yaKalunga nokutya Horeb. "
"The Angel of the Lord appeared to him in a blazing flame of fire from the midst of a bush; and he looked, and behold, the bush was on fire, yet it was not consumed. ","Opo nee omweengeli wOmwene okwe mu lihololela momutemo womundilo moshixwa sheno. Ndele ye eshi a tala ko shili, oshixwa sheno osha xwama omundilo, ndelenee inashi lungwina po komundilo! "
"So Moses said, “I must turn away [from the flock] and see this great sight—why the bush is not burned up.”","Ndele Moses ta ti: “Onda hala ndi ehene ko popepi ndi tale emoniko eli linene, omolwashike oshixwa sheno itashi lungwina po.” "
"When the Lord saw that he turned away [from the flock] to look, God called to him from the midst of the bush and said, “Moses, Moses!” And he said, “Here I am.”","Omwene eshi a mona ta ehene po e shi tale, Kalunga okwe mu ifana, ta popi moshixwa sheno ta ti: “Moses, Moses!” Ndele ye ta nyamukula: “Aame ou!” "
"Then God said, “Do not come near; take your sandals off your feet [out of respect], because the place on which you are standing is holy ground.” ","Ndele Ye ta ti: “Ino ehena oku. Dula ko eenghaku keemhadi doye, osheshi onhele apa u li ofika oyo edu liyapuki.”"
"Then He said, “I am the God of your father, the God of Abraham, the God of Isaac, and the God of Jacob.” Then Moses hid his face, because he was afraid to look at God.","Ye ta ti vali: “Aame Kalunga kooxo, Kalunga kaAbraham, Kalunga kaIsak naKalunga kaJakob.” Opo nee Moses okwa uvika oshipala shaye, osheshi okwa tila okutala Kalunga."
"The Lord said, “I have in fact seen the affliction (suffering, desolation) of My people who are in Egypt, and have heard their cry because of their taskmasters (oppressors); for I know their pain and suffering.","NOmwene ta ti: “Ame onda mona okuhepekwa kwoshiwana shange, eshi shi li muEgipiti. Naame onda uda onghuwo yavo omolwovafininiki, heeno, ondi wete oudjuu wavo."
"So I have come down to rescue them from the hand (power) of the Egyptians, and to bring them up from that land to a land [that is] good and spacious, to a land flowing with milk and honey [a land of plenty]—to the place of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite. ","Onghee nde uya poshi, ndi va kulile mo meke lOvaegipiti, nondi va twale medu linya, medu liwa nola mbwalangadja, medu li yadi omashini nomaadi eenyiki, medu omo Ovakaanan nOvaheti nOvaamori nOvaperesi nOvahevi nOvajebusi ve li mo. "
"Now, behold, the cry of the children of Israel has come to Me; and I have also seen how the Egyptians oppress them.","Ndele paife tala, onghuwo nekemo lOvaisraeli oya fika kwaame. Nonda mona yo ehepeko nalo Ovaegipiti tave va hepeke. "
"Therefore, come now, and I will send you to Pharaoh, and then bring My people, the children of Israel, out of Egypt.” ","Hano inda ko, Ame ohandi ku tumu kuFarao, u pitife mo muEgipiti oshiwana shange Ovaisraeli.” "
"But Moses said to God, “Who am I, that I should go to Pharaoh, and that I should bring the children of Israel out of Egypt?”","Ndelenee Moses okwa lombwela Kalunga ta ti: “Aame omushike ndi ye kuFarao, nondi pitife mo Ovaisraeli muEgipiti?” "
"And God said, “Certainly I will be with you, and this shall be the sign to you that it is I who have sent you: when you have brought the people out of Egypt, you shall serve and worship God at this mountain.”","Ndele Ye ta nyamukula: “Ame ohandi ka kala pamwe naave, naashi tashi ningi edidiliko kwoove nokutya, Ame nde ku tuma ko: ove eshi wa pitifa mo oshiwana muEgipiti, vo otava ka longela Kalunga komhunda tuu ei.”"
"Then Moses said to God, “Behold, when I come to the Israelites and say to them, ‘The God of your fathers (ancestors) has sent me to you,’ and they say to me, ‘What is His name?’ What shall I say to them?” ","Opo nee Moses okwa lombwela Kalunga ta ti: “Ndelenee ame ngeenge handi i kOvaisraeli ndele handi va lombwele: ‘Kalunga kooxo okwa tuma nge kunye,’ ndele tava pula nge: ‘Olyelye edina laye?’ Ohandi va nyamukula shike?”"
"God said to Moses, “I AM WHO I AM”; and He said, “You shall say this to the Israelites, ‘I AM has sent me to you.’ ” ","Ndele Kalunga ta ti kuMoses: “Aame tuu Ame. U nokunyamukula Ovaisraeli u tye ngaha: ‘Aame tuu Ame,’ a tuma nge kunye.” "
"Then God also said to Moses, “This is what you shall say to the Israelites, ‘The Lord, the God of your fathers, the God of Abraham, the God of Isaac, and the God of Jacob (Israel), has sent me to you.’ This is My Name forever, and this is My memorial [name] to all generations. ","Opo nee Kalunga okwa lombwela vali Moses ta ti: “Odo u noku di shiivifila Ovaisraeli: ‘Omwene Kalunga kooxo, Kalunga kaAbraham naKalunga kaIsak naKalunga kaJakob okwa tuma nge kunye.’ Olo edina lange fiyo alushe nalo Ame handi ifanwa kepupi fiyo okepupi. "
"Go, gather the elders (tribal leaders) of Israel together, and say to them, ‘The Lord, the God of your fathers, the God of Abraham, of Isaac, and of Jacob, appeared to me, saying, “I am indeed concerned about you and what has been done to you in Egypt. ","Inda ko u shivile ko ovakulunhu vOvaisraeli noku va lombwela: ‘Omwene, Kalunga kooxo okwe liholola kwaame, Kalunga kaAbraham, kaIsak nokaJakob.’ ” Ndele okwa tya: “Oshili Ame ohandi mu pashukile noku mu kalela noshisho nokutala eshi tashi mu ningilwa muEgipiti. "
"So I said I will bring you up out of the suffering and oppression of Egypt to the land of the Canaanite, the Hittite, the Amorite, the Perizzite, the Hivite, and the Jebusite, to a land flowing with milk and honey.” ’ ","Onghee hano onda tokola mwaame kutya: ‘Ame onda hala oku mu pitifa mo moudjuu womuEgipiti noku mu twala medu lOvakaanan nolOvaheti nolOvaamori nolOvaperesi nolOvahevi nolOvajebusi, moshilongo shi yadi omashini nomaadi eenyiki.’"
"The elders [of the tribes] will listen and pay attention to what you say; and you, with the elders of Israel, shall go to the king of Egypt and you shall say to him, ‘The Lord, the God of the Hebrews, has met with us; so now, please, [we ask and plead with you,] let us go on a three days’ journey into the wilderness, so that we may sacrifice to the Lord our God.’ ","“Ndele vo otave ke ku uda. Opo nee nye novakulunhu vOvaisraeli mu nokuya kohamba yaEgipiti, nomu noku i lombwela: ‘Omwene Kalunga kOvaheberi okwe tu shakeneka. Hano tu lekela paife, fye tu ka ende omafiku atatu kombuwa tu ka yandjele Omwene Kalunga ketu omayambo.’ "
But I know that the king of Egypt will not let you go unless [he is forced] by a strong hand. ,"Ndelenee Ame ondi shi shii nokutya, ohamba yaEgipiti itai mu lekele nande tai fininikwa keke li neenghono. "
So I will reach out My hand and strike Egypt with all My wonders which I shall do in the midst of it; and after that he will let you go. ,"Ndele Ame ohandi ka nanena kombada yaEgipiti eke lange nohandi ke va monifila oikumwifa nomadidiliko aa handi ka ningila ko, opo nee ye ote mu lekele mu dje mo."
"And I will grant this people favor and respect in the sight of the Egyptians; therefore, it shall be that when you go, you will not go empty-handed.","“Ndele oshiwana eshi Ame ohandi ke shi filifa onghenda kOvaegipiti, opo ngeenge tamu ka dja mo, itamu ka dja mo hamakasha,"
"But every woman shall [insistently] ask her neighbor and any woman who lives in her house, for articles of silver and articles of gold, and clothing; and you shall put them on your sons and daughters. In this way you are to plunder the Egyptians",ndelenee keshe omwalikadi e nokweehela omushiinda shaye naava ve li meumbo laye oinima oisiliveli noingoldo noikutu. Ndele nye otamu i humbatifa ovana veni ovamati noukadona; nosho ngaha tamu ka kufa oihakanwa kOvaegipiti.”
"Then Moses answered [the Lord] and said, “What if they will not believe me or take seriously what I say? For they may say, ‘The Lord has not appeared to you.’ ” ","Opo nee Moses okwa nyamukula ta ti: “Ndelenee vo ngeenge itava itavele nge ndele itava pwilikine ondaka yange, ndelenee tava ti: ‘Omwene ine ku lihololela?’ ” "
"And the Lord said to him, “What is that in your hand?” And he said, “A staff.” ",Opo nee Omwene ta pula Moses ta ti: “Oshike shi li meke loye?” Ndele ye okwa nyamukula: “Onhaili.” 
"Then He said, “Throw it on the ground.” So Moses threw it on the ground, and it became a [living] serpent [like the royal symbol on the crown of Pharaoh]; and Moses ran from it. ","Ndele Ye ta ti: “I ekela poshi.” Opo ye e i ekela poshi, ndele yo oya ninga eyoka, naMoses okwe li ya onhapo."
"But the Lord said to Moses, “Reach out your hand and grasp it by the tail.” So he reached out his hand and caught it, and it became a staff in his hand","Opo nee Omwene okwa lombwela Moses: “Nana eke loye u li kwate komushila.” Moses okwa nana eke laye nokwe li kwata, ndele lo ola ninga onhaili meke laye, "
"You shall do this,” said the Lord,] “so that the elders may believe that the Lord, the God of their fathers, the God of Abraham, the God of Isaac, and the God of Jacob, has [most certainly] appeared to you.”","Opo venya ve na okwiitavela nokutya: “Omwene Kalunga kaAbraham, Kalunga kaIsak naKalunga kaJakob e ku lihololela.”"
"The Lord also said to him, “Put your hand into your robe [where it covers your chest].” So he put his hand into his robe, and when he took it out, his hand was leprous, as white as snow. ","NOmwene okwe mu lombwela vali: “Shitika eke loye monghwapa.” Ndele ye okwa shitika eke laye monghwapa yaye. Ndele ye eshi e li kufa mo, la kwatwa koshilundu, la toka ngaashi eemhawe."
"Then God said, “Put your hand into your robe again.” So he put his hand back into his robe, and when he took it out, it was restored [and was] like the rest of his body.","Ndele Ye ta ti: “Shitika mo vali eke loye monghwapa yoye.” Ndele okwa shitika eke laye monghwapa yaye; ndele eshi e li kufa mo, lo la li la yela ngaashi olutu laye. "
"“If they will not believe you or pay attention to the evidence of the first sign, they may believe the evidence of the second sign. ","Ndele Kalunga okwa ti vali: “Ngeenge itave ku itavele noitava udu molwedidiliko lotete, opo nee tava itavele molwedidiliko laxuuninwa."
"But if they will not believe these two signs or pay attention to what you say, you are to take some water from the Nile and pour it on the dry ground; and the water which you take out of the river will turn into blood on the dry ground.”","Ndele ngeenge itava itavele omadidiliko aa avali noitava pwilikine ondaka yoye, teka hano omeva muNil u a tile poukukutu. Opo nee omeva aa a kufwa muNil taa ka ninga ohonde poukukutu.”"
"Then Moses said to the Lord, “Please, Lord, I am not a man of words (eloquent, fluent), neither before nor since You have spoken to Your servant; for I am slow of speech and tongue.” ","Opo nee Moses okwa lombwela Omwene: “Akutu Omwene, ame nghi shii kupopya; onghela nongheleinya nonena eli, eshi wa popifa omupiya woye; osheshi okutumbula kwange taku nyenge nge nelaka lange olidjuu.”"
"The Lord said to him, “Who has made man’s mouth? Or who makes the mute or the deaf, or the seeing or the blind? Is it not I, the Lord? ","NOmwene okwe mu nyamukula: “Olyelye a shitila omunhu okanya? Nolyelye a shita omufitandaka nomufitamatwi, omunamesho nomupofi? Haame Omwene?"
"Now then go, and I, even I, will be with your mouth, and will teach you what you shall say.” ","Inda ko hano ashike naame ohandi ka kala nokanya koye noku ku longa, eshi u nokupopya.” "
"But he said, “Please my Lord, send the message [of rescue to Israel] by [someone else,] whomever else You will [choose].”","Ndelenee ye ta ti: “Akutu Omwene, tuma ko umwe, nande olyelye wa hala.” "
"Then the anger of the Lord was kindled and burned against Moses; He said, “Is there not your brother, Aaron the Levite? I know that he speaks fluently. Also, he is coming out to meet you, and when he sees you, he will be overjoyed. ","Opo nee ehandu lOmwene la xwamena Moses ndele Ye ta ti: “Omumwanyoko Aron, Omulevi, oko e li ndi shii. Ondi shi shii ye e shii okupopya nawa. Ndele ye ote ku shakeneke. Noye eshi te ku mono omutima waye tau ka hafa. "
"You must speak to him and put the words in his mouth; I, even I, will be with your mouth and with his mouth, and I will teach you what you are to do. ","Ove u nokupopya nokutula mokanya kaye eendjovo. Ndele Ame ohandi ka kala nokanya koye nonokanya kaye, nde handi mu longo eshi mu nokuninga. "
"Moreover, he shall speak for you to the people; he will act as a mouthpiece for you, and you will be as God to him [telling him what I say to you].","Ndele ye e nokupopya novanhu ponhele yoye, noye ota ka ninga okanya koye naave to ningi kalunga kuye."
"You shall take in your hand this staff, with which you shall perform the signs [the miracles which prove I sent you].”","Kufa hano onhaili ei meke loye, nayo u nokuninga omadidiliko.”"
"Then Moses went away and returned to Jethro his father-in-law, and said to him, “Please, let me go back so that I may return to my relatives in Egypt, and see if they are still alive.” And Jethro said to Moses, “Go in peace.” ","Opo nee Moses okwa dja po nokwa shuna koxemweno Jetro, ndele ye ta ti kuye: “Efe nge ndi shune kovamwameme ava ve li muEgipiti, ndi mone ngeenge ve nomwenyo natango.” Ndele Jetro te mu lombwele: “Inda nombili.”"
"Then the Lord said to Moses in Midian, “Go back to Egypt, for all the men who were seeking your life [for killing the Egyptian] are dead.”","NOmwene ye okwa lombwela Moses muMidian ta ti: “Inda ko u shune kuEgipiti. Osheshi ovanhu aveshe venya va li va hala oku ku dipaa, ova fya.”"
"So Moses took his wife [Zipporah] and his sons [Gershom and Eliezer] and seated them on donkeys, and returned to the land of Egypt. Moses also took the staff of God in his hand.","Moses okwa kufa omwalikadi waye novana vaye ovamati nokwe va londeka kondongi, ndele a shuna kedu laEgipiti. Onhaili yaKalunga Moses e i kwete meke laye. "
"The Lord said to Moses, “When you return to Egypt, see that you perform before Pharaoh all the wonders (miracles) which I have put in your hand, but I will harden his heart and make him stubborn so that he will not let the people go. ","NOmwene okwa lombwela Moses ta ti: “Paife eshi to shuna kuEgipiti, tala, ka ninge oikumwifa aishe ei nde i ku pa, koshipala shaFarao. Ndelenee Ame ohandi ka kukutika omutima waye, opo ye ita ka efa oshiwana shi dje mo."
"Then you shall say to Pharaoh, ‘Thus says the Lord, “Israel is My son, My firstborn. ",Ove u nokulombwela Farao kutya Omwene ta ti ngaha: ‘Israel oye oshiveli shange; 
"So I say to you, ‘Let My son go so that he may serve Me’; and if you refuse to let him go, behold, I will kill your son, your firstborn.","onghee handi ku lombwele, lekela omona wange omumati, opo a shiive okulongela nge. Ndelenee ngeenge to anye oku mu lekela, tala, oiveli yoye Ame ohandi i dipaa."
"Now it happened at the lodging place, that the Lord met Moses and sought to kill him [making him deathly ill because he had not circumcised one of his sons","Hano mondjila, fimbo ve li monhanda, Omwene okwe mu hanga nokwa hala oku mu dipaa. "
"Then Zipporah took a flint knife and cut off the foreskin of her son and threw it at Moses’ feet, and said, “Indeed you are a husband of blood to me!” ","Opo nee Sippora okwa kufa okamanya ka upikwa nokwa kengha oshipa shonhele youlumenhu womona waye omumati nokwe shi kumifa eemhadi daMoses ndele ta ti: “Oshili, oove omuhomboli wange wopahonde.” "
"So He let Moses alone [to recover]. At that time Zipporah said, “You are a husband of blood”—because of the circumcision.",Ndele Ye okwe mu efa. Opo ye okwa tile: “Omuhomboli wopahonde! Omolwokupita etanda.”
"The Lord said to Aaron, “Go into the wilderness to meet Moses.” So he went and met him at the mountain of God (Sinai) and kissed him.","Omwene okwa lombwela yo Aron ta ti: “Inda u ka shakeneke Moses mofuka.” Ndele ye okwa ya nokwe mu shakeneka komhunda yaKalunga, ndele okwe mu fipa komilungu. "
"Moses told Aaron all the words of the Lord with which He had sent him, and all the signs that He had commanded him to do.",Opo nee Moses okwa hepaululila Aron eendjovo adishe dOmwene nado Ye okwe mu tuma nomadidiliko aeshe oo Ye e mu lombwela. 
Then Moses and Aaron went [into Egypt] and assembled all the elders of the Israelites; ,Ndele Moses naAron ova ya nova ongaleka ovakulunhu aveshe vOvaisraeli.
and Aaron said all the words which the Lord had spoken to Moses. Then Moses performed the signs [given to him by God] before the people.,"NaAron okwa hepaulula eendjovo adishe odo Omwene e di lombwela Moses, nomadidiliko okwe a ninga moipafi yovanhu. "
"So the people believed; and when they heard that the Lord was concerned about the Israelites and that He had looked [with compassion] on their suffering, then they bowed their heads and worshiped ","Novanhu va itavela. Ndele vo eshi va uda nokutya, Omwene okwa dimbulukwa Ovaisraeli nokwa mona oudjuu wavo, vo ove linyongamena nokutwa oipala yavo poshi."
"Afterward Moses and Aaron came and said to Pharaoh, “Thus says the Lord, the God of Israel, ‘Let My people go, so that they may celebrate a feast to Me in the wilderness.","Ndele Moses naAron ova ya kuFarao ndele tava ti kuye: “Omwene Kalunga kaIsrael ta ti ngaha: ‘Lekela oshiwana shange, shi ka ningile nge oshivilo mombuwa."
"But Pharaoh said, “Who is the Lord that I should obey His voice to let Israel go? I do not know the Lord, nor will I let Israel go.” ","Ndelenee Farao ta nyamukula: “Omwene olyelye, ame ndi pwilikine ondaka yaye ndi lekele Israel? Omwene ou kandi mu shii noitandi ka lekela Israel a dje mo.” "
"Then they said, “The God of the Hebrews has met with us. Please, let us go on a three days’ journey into the wilderness and sacrifice to the Lord our God, so that He does not discipline us with pestilence or with the sword.”","Vo otava ti: “Kalunga kOvaheberi okwe tu shakeneka. Tu lekela hano, tu ka ye mondjila yomafiku atatu, tu ka yambele Omwene Kalunga ketu mombuwa, opo ehe tu dipaife oudu wolutapo ile eongamukonda.” "
"But the king of Egypt said to Moses and Aaron, “Why do you take the people away from their work? Get back to your burdens!” ","Ndelenee ohamba yaEgipiti ye va nyamukula, tai ti: “Moses naAron, omolwashike tamu kelele ovanhu va longe oilonga yavo? Indeni mu ka longe! "
